#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Avg Thread Executed,Divergent Branches,Address Space,Access Operation,Access Size,L1 Sectors Global,L2 Sectors Global Excessive,L2 Sectors Global,L2 Sectors Global Ideal
,,gpu_insert_key
1,00000007 00b8f900,"     IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ",1,0,0,128,4096,32,,,,,,,,
2,00000007 00b8f910,"     S2R R0, SR_CTAID.X ",2,0,0,128,4096,32,,,,,,,,
3,00000007 00b8f920,"     IMAD.MOV.U32 R17, RZ, RZ, 0xc ",3,0,0,128,4096,32,,,,,,,,
4,00000007 00b8f930,"     S2R R3, SR_TID.X ",4,0,0,128,4096,32,,,,,,,,
5,00000007 00b8f940,"     IMAD R0, R0, c[0x0][0x0], R3 ",4,0,0,128,4096,32,,,,,,,,
6,00000007 00b8f950,"     SHF.R.S32.HI R5, RZ, 0x1f, R0 ",5,0,0,128,4096,32,,,,,,,,
7,00000007 00b8f960,"     LEA.HI R3, R5, R0, RZ, 0x3 ",5,0,0,128,4096,32,,,,,,,,
8,00000007 00b8f970,"     SHF.R.S32.HI R16, RZ, 0x3, R3 ",6,0,0,128,4096,32,,,,,,,,
9,00000007 00b8f980,"     IMAD.WIDE R16, R16, R17, c[0x0][0x160] ",6,0,0,128,4096,32,,,,,,,,
10,00000007 00b8f990,"     LDG.E.SYS R2, [R16] ",7,0,0,128,4096,32,,Global,Load,32,160,0,256,256
11,00000007 00b8f9a0,"     LOP3.LUT R7, R3, 0xfffffff8, RZ, 0xc0, !PT ",8,0,0,128,4096,32,,,,,,,,
12,00000007 00b8f9b0,"     IMAD.IADD R23, R0, 0x1, -R7 ",9,0,0,128,4096,32,,,,,,,,
13,00000007 00b8f9c0,"     LOP3.LUT R4, R2, 0xffffff, RZ, 0xc0, !PT ",10,0,0,128,4096,32,,,,,,,,
14,00000007 00b8f9d0,"     LEA R2, P0, R4, c[0x0][0x168], 0x6 ",10,0,0,128,4096,32,,,,,,,,
15,00000007 00b8f9e0,"     LEA.HI.X R3, R4, c[0x0][0x16c], RZ, 0x6, P0 ",10,0,0,128,4096,32,,,,,,,,
16,00000007 00b8f9f0,"     IMAD.WIDE R2, R23, 0x4, R2 ",10,0,0,128,4096,32,,,,,,,,
17,00000007 00b8fa00,"     LDG.E.SYS R4, [R2] ",10,0,0,128,4096,32,,Global,Load,32,512,0,512,512
