#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Avg Thread Executed,Address Space,Access Operation,Access Size,L1 Sectors Global,L2 Sectors Global Excessive,L2 Sectors Global,L2 Sectors Global Ideal,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
,,gpu_search_key
1,00000007 00b90700,"     IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ",2,2,2,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,00000007 00b90710,"     S2R R0, SR_CTAID.X ",3,1,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,00000007 00b90720,"     S2R R3, SR_TID.X ",4,2,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,00000007 00b90730,"     IMAD R0, R0, c[0x0][0x0], R3 ",4,2,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,00000007 00b90740,"     IMAD.MOV.U32 R3, RZ, RZ, 0x8 ",4,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00000007 00b90750,"     SHF.R.S32.HI R9, RZ, 0x1f, R0 ",5,1,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,00000007 00b90760,"     LEA.HI R5, R9, R0, RZ, 0x3 ",6,3,0,8192,262144,32,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,00000007 00b90770,"     SHF.R.S32.HI R6, RZ, 0x3, R5 ",7,2,0,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,00000007 00b90780,"     IMAD.WIDE R2, R6, R3, c[0x0][0x160] ",8,21,15,8192,262144,32,,,,,,,,0,0,0,13,0,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0
10,00000007 00b90790,"     LDG.E.SYS R4, [R2] ",9,4,0,8192,262144,32,Global,Load,32,8192,0,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,00000007 00b907a0,"     LOP3.LUT R7, R5, 0xfffffff8, RZ, 0xc0, !PT ",10,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,00000007 00b907b0,"     IMAD.IADD R11, R0, 0x1, -R7 ",11,4,2,8192,262144,32,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,00000007 00b907c0,"     LDG.E.SYS R7, [R2+0x4] ",11,6,3,8192,262144,32,Global,Load,32,8192,0,8192,8192,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
14,00000007 00b907d0,"     LOP3.LUT R8, R4, 0xffffff, RZ, 0xc0, !PT ",12,106,104,8192,262144,32,,,,,,,,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
15,00000007 00b907e0,"     LEA R4, P0, R8, c[0x0][0x170], 0x6 ",12,1,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,00000007 00b907f0,"     LEA.HI.X R5, R8, c[0x0][0x174], RZ, 0x6, P0 ",12,5,2,8192,262144,32,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,00000007 00b90800,"     IMAD.WIDE R4, R11, 0x4, R4 ",12,1,0,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,00000007 00b90810,"     LDG.E.SYS R8, [R4] ",12,2,0,8192,262144,32,Global,Load,32,32768,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,00000007 00b90820,"     ISETP.NE.AND P0, PT, R8, R7, PT ",12,319,317,8192,262144,32,,,,,,,,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,1
20,00000007 00b90830,"@!P0 LDG.E.SYS R13, [R4+0x20] ",12,0,0,8192,32766,3,Global,Load,32,32427,24574,32766,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,00000007 00b90840,"     IMAD.MOV.U32 R7, RZ, RZ, 0x4 ",12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,00000007 00b90850,"     IMAD.WIDE R6, R6, R7, c[0x0][0x168] ",12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,00000007 00b90860,"     LEA.HI R9, R9, R0, RZ, 0x5 ",12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,00000007 00b90870,"@!P0 STG.E.SYS [R6], R13 ",12,120,116,8192,32766,3,Global,Store,32,8107,0,8192,8192,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,2
25,00000007 00b90880,     BAR.SYNC 0x0 ,12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
